tags,status,list_date,open_houses,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,list_price,property_id,flags.is_new_construction,flags.is_for_rent,flags.is_subdivision,flags.is_contingent,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_plan,flags.is_coming_soon,flags.is_new_listing,listing_id,price_reduced_amount,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line
"['city_view', 'single_story', 'big_yard', 'fenced_yard', 'ensuite', 'new_roof']",sold,2023-10-29T17:55:28.000000Z,,1984.0,,2024-01-12,169000,2.0,,,10890.0,1804.0,2.0,,,,1.0,3.0,single_family,169999.0,7700690979,,,,,False,,,,,False,2960975584,5000.0,36106,Alabama,-86.232662,32.351898,Montgomery,AL,1819 E Trinity Blvd
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'furniture']",sold,2023-12-08T14:11:39.000000Z,,1999.0,,2024-01-12,180000,2.0,,,12632.0,1476.0,2.0,,,,1.0,3.0,single_family,189900.0,8798505230,,,,,,,,,,False,2962329566,,36117,Alabama,-86.200885,32.405798,Montgomery,AL,1112 Sandlewood Ct
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'high_ceiling', 'floor_plan', 'rental_property', 'furniture', 'new_roof']",sold,2023-11-27T22:50:49.000000Z,,2001.0,,2024-01-12,260000,2.0,,,12632.0,1888.0,2.0,,,,1.0,4.0,single_family,254999.0,7117799851,,,,,True,,,,,False,2961991525,5001.0,36117,Alabama,-86.161376,32.37089,Montgomery,AL,545 Ridge Park Dr
"['single_story', 'fixer_upper']",sold,2023-02-24T15:00:22.000000Z,,1962.0,,2024-01-12,60000,2.0,,,13068.0,1722.0,2.0,,,,1.0,3.0,single_family,75000.0,8922976627,,,,,,,,,,False,2952735222,,36116,Alabama,-86.291318,32.323353,Montgomery,AL,4275 Sunshine Dr
"['central_air', 'central_heat', 'city_view', 'dishwasher', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'ensuite']",sold,2023-11-30T13:50:41.000000Z,,1965.0,,2024-01-12,159000,2.0,,,11326.0,1635.0,2.0,,,2.0,1.0,3.0,single_family,159000.0,8224034280,,,,,,,,,,False,2962073853,,36109,Alabama,-86.251939,32.37021,Montgomery,AL,817 Dumont Dr
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'high_ceiling', 'master_bedroom', 'big_lot', 'ensuite']",sold,2023-09-01T00:58:27.000000Z,,1974.0,,2024-01-12,424900,2.0,,1.0,740520.0,3339.0,3.0,,,,2.0,3.0,single_family,424900.0,9099119141,,,,,,,,,,False,2959272543,,36108,Alabama,-86.458715,32.323992,Montgomery,AL,1380 Cantelou Rd
"['horse_facilities', 'rental_property', 'big_lot', 'pond']",sold,2022-09-02T18:18:05.000000Z,,,,2024-01-12,370000,,,,3397680.0,,0.0,,,,,,land,395000.0,9371305836,,,,,,,,,,False,2947407483,,36105,Alabama,-86.220291,32.155112,Montgomery,AL,3180 E Old Hayneville Rd
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'swimming_pool', 'corner_lot']",sold,2023-12-08T00:50:40.000000Z,,1969.0,,2024-01-12,140000,2.0,,,14375.0,1576.0,2.0,,,,1.0,3.0,single_family,140000.0,7788790816,,,,,,,,,,False,2962320837,,36117,Alabama,-86.196333,32.389801,Montgomery,AL,369 Kroy Dr
"['carport', 'central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'fenced_yard', 'shopping']",sold,2023-12-13T22:08:44.000000Z,,1954.0,,2024-01-12,149900,1.0,,,13504.0,1736.0,1.0,,,,1.0,3.0,single_family,149900.0,7502373005,,,,,,,,,,False,2962528957,,36109,Alabama,-86.247999,32.393518,Montgomery,AL,3725 Dalraida Pkwy
"['city_view', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'fixer_upper']",sold,2023-12-14T16:29:30.000000Z,,1966.0,,2024-01-12,45000,1.0,,,4356.0,1434.0,1.0,,,,1.0,2.0,single_family,50000.0,9066470079,,,,,,,,,,False,2962546121,,36104,Alabama,-86.312431,32.362228,Montgomery,AL,1109D E Nixon Ave
"['central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'master_bedroom', 'floor_plan', 'ensuite']",sold,2023-08-28T19:26:36.000000Z,,2006.0,,2024-01-11,310000,2.0,,,13068.0,2134.0,2.0,,,2.0,1.0,4.0,single_family,320000.0,7582727824,,,,,False,,,,,False,2959156747,10000.0,36117,Alabama,-86.134284,32.316226,Montgomery,AL,8979 Pennington Pl
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'updated_kitchen', 'master_suite', 'shopping']",sold,2023-10-25T19:07:59.000000Z,,1986.0,,2024-01-10,147000,2.0,,,6970.0,1650.0,2.0,,,,1.0,3.0,single_family,145000.0,7012948010,,,,,,,,,,False,2960865829,,36111,Alabama,-86.257237,32.330353,Montgomery,AL,3139 Sutton Dr
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'big_lot']",sold,2023-07-25T20:45:25.000000Z,,1968.0,,2024-01-10,195000,2.0,,,16553.0,2264.0,2.0,,,2.0,1.0,5.0,single_family,215000.0,7474045814,,,,,,,,,,False,2958028203,,36116,Alabama,-86.223595,32.336941,Montgomery,AL,5728 Carriage Hills Dr
"['central_air', 'central_heat', 'city_view', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",sold,2023-11-09T21:32:22.000000Z,,1968.0,,2024-01-09,136000,2.0,,,16988.0,1752.0,2.0,,,2.0,1.0,3.0,single_family,136000.0,8160653135,,,,,,,,,,False,2961502665,,36116,Alabama,-86.287019,32.312602,Montgomery,AL,4760 Queensbury Ct
"['carport', 'city_view', 'dishwasher', 'single_story', 'rental_property', 'medicalcare', 'shopping']",sold,2024-01-10T03:11:24.000000Z,,1958.0,,2024-01-09,31500,1.0,,,11326.0,961.0,1.0,,,,1.0,3.0,single_family,31500.0,7315920123,,,,,,,,,,False,2963067396,,36111,Alabama,-86.289689,32.334407,Montgomery,AL,1313 Adrian Ln
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",sold,2023-11-07T00:05:24.000000Z,,1967.0,,2024-01-08,178000,2.0,,,12632.0,1892.0,2.0,,,,1.0,4.0,single_family,184900.0,8656536510,,,,,False,,,,,False,2961407982,5000.0,36109,Alabama,-86.237024,32.37289,Montgomery,AL,511 E Moye Dr
"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'disability_features', 'dishwasher', 'energy_efficient', 'washer_dryer', 'single_story']",sold,2023-12-05T03:11:36.000000Z,,1975.0,,2024-01-08,172500,2.0,,,11326.0,1699.0,2.0,,,,1.0,4.0,single_family,169900.0,8182935020,,,,,,,,,,False,2962227212,,36109,Alabama,-86.231218,32.392608,Montgomery,AL,729 Ledyard Pl
"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'new_roof', 'shopping']",sold,2023-10-24T22:03:07.000000Z,,1962.0,,2024-01-08,150000,2.0,,,67954.0,1833.0,2.0,,,2.0,1.0,3.0,single_family,159000.0,7463846561,,,,,,,,,,False,2960840384,,36116,Alabama,-86.29416,32.31254,Montgomery,AL,540 Seibles Rd
"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'wooded_land', 'front_porch', 'large_porch', 'big_lot']",sold,2023-09-08T14:32:07.000000Z,,1945.0,,2024-01-08,170000,2.0,,1.0,313632.0,3092.0,3.0,,,,1.0,3.0,single_family,180000.0,9438857823,,,,,False,,,,,False,2959489307,20000.0,36116,Alabama,-86.259551,32.273275,Montgomery,AL,7370 Narrow Lane Rd
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story', 'big_lot']",sold,2023-11-06T18:42:05.000000Z,,1957.0,,2024-01-05,125000,1.0,,,12632.0,1380.0,1.0,,,,1.0,3.0,single_family,125000.0,8163998846,,,,,,,,,,False,2961396128,,36109,Alabama,-86.242435,32.370027,Montgomery,AL,4006 Marquette Dr
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'ensuite']",sold,2023-11-09T19:26:26.000000Z,,1984.0,,2024-01-05,162000,2.0,,,6098.0,1539.0,2.0,,,,1.0,3.0,single_family,180000.0,8965792046,,,,,,,,,,False,2961496687,,36117,Alabama,-86.201805,32.352188,Montgomery,AL,6032 Bolingbrook Dr
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",sold,2023-11-09T16:29:22.000000Z,,1950.0,,2024-01-05,111200,2.0,,,8276.0,1178.0,2.0,,,,1.0,3.0,single_family,118900.0,8210500445,,,,,,,,,,False,2961489340,,36107,Alabama,-86.271969,32.369906,Montgomery,AL,2802 Cherry St
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'rental_property']",sold,2023-11-05T18:44:56.000000Z,,1948.0,,2024-01-05,63000,1.0,,,7405.0,1290.0,1.0,,,1.0,1.0,3.0,single_family,65000.0,7793345485,,,,,,,,,,False,2961378333,,36107,Alabama,-86.27008,32.375789,Montgomery,AL,2938 McQueen St
"['central_air', 'central_heat', 'city_view', 'single_story', 'rental_property']",sold,2023-10-23T18:51:02.000000Z,,1964.0,,2024-01-05,106000,2.0,,,16553.0,2349.0,2.0,,,,1.0,4.0,single_family,110000.0,8352509580,,,,,,,,,,False,2960801836,,36111,Alabama,-86.260841,32.334141,Montgomery,AL,3010 Merrimac Dr
"['central_air', 'central_heat', 'city_view', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan']",sold,2023-10-17T22:03:02.000000Z,,2001.0,,2024-01-05,245000,2.0,,,6534.0,1742.0,2.0,,,2.0,1.0,3.0,single_family,249000.0,8426516593,,,,,,,,,,False,2960634023,,36117,Alabama,-86.16438,32.380124,Montgomery,AL,8087 Ansley Trce
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'golf_course_lot_or_frontage', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'big_lot']",sold,2023-08-08T14:32:27.000000Z,,1989.0,,2024-01-05,310000,3.0,,,22651.0,3137.0,3.0,,,,1.0,4.0,single_family,420000.0,8073335883,,,,,False,,,,,False,2958470414,15500.0,36117,Alabama,-86.144541,32.348511,Montgomery,AL,9719 Rosalie Dr
"['carport', 'community_outdoor_space', 'basement', 'single_story']",sold,2023-09-21T19:38:23.000000Z,,1950.0,,2024-01-05,100000,1.0,,,15682.0,1471.0,1.0,,,,1.0,3.0,single_family,105000.0,7056113344,,,,,False,,,,,False,2959876046,7900.0,36109,Alabama,-86.24679,32.378365,Montgomery,AL,256 Perry Hill Rd
"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'master_bedroom', 'open_floor_plan', 'floor_plan']",sold,2023-12-04T21:26:28.000000Z,,1971.0,,2024-01-05,95900,1.0,,1.0,10664.0,1200.0,2.0,,,,1.0,3.0,single_family,95500.0,7947655529,,,,,,,,,,False,2962219368,,36117,Alabama,-86.193254,32.391523,Montgomery,AL,6212 Hinchcliff Rd
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'tennis_court', 'new_roof', 'tennis']",sold,2023-09-21T17:39:14.000000Z,,1940.0,,2024-01-04,375000,3.0,,1.0,30056.0,4483.0,4.0,,,2.0,2.0,4.0,single_family,410000.0,8261736041,,,,,,,,,,False,2959870684,,36111,Alabama,-86.277533,32.341846,Montgomery,AL,2188 Woodley Rd
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_park', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'lake_view', 'laundry_room', 'recreation_facilities', 'water_view', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'modern_kitchen', 'large_kitchen', 'pond', 'clubhouse', 'trails', 'hoa', 'maintenance']",sold,2023-12-02T15:38:34.000000Z,,2004.0,,2024-01-04,320000,2.0,,,9583.0,2488.0,2.0,,,2.0,1.0,3.0,single_family,334900.0,8782779002,,,,,,,,,,False,2962186447,,36117,Alabama,-86.158352,32.375242,Montgomery,AL,861 Somerset Dr
"['central_air', 'central_heat', 'city_view', 'single_story']",sold,2023-10-05T13:47:17.000000Z,,1971.0,,2024-01-04,120000,2.0,,,10019.0,1747.0,2.0,,,,1.0,3.0,single_family,119900.0,7152486220,,,,,True,,,,,False,2960272346,100.0,36116,Alabama,-86.240711,32.309924,Montgomery,AL,3223 Babette Cir
"['central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'fenced_yard', 'floor_plan', 'new_roof', 'shopping']",sold,2023-11-10T22:41:34.000000Z,,1994.0,,2024-01-03,283000,2.0,,,13747.0,2069.0,2.0,,,2.0,1.0,4.0,single_family,289900.0,7194045969,,,,,,,,,,False,2961543302,,36117,Alabama,-86.167468,32.343306,Montgomery,AL,2349 Brookstone Dr
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'swimming_pool', 'floor_plan', 'big_lot', 'park', 'groundscare', 'maintenance', 'shopping']",sold,2023-11-15T22:35:40.000000Z,,1994.0,,2024-01-02,284500,2.0,,,15682.0,2124.0,2.0,,,,1.0,4.0,single_family,289900.0,7558916813,,,,,,,,,,False,2961717690,,36117,Alabama,-86.167057,32.341748,Montgomery,AL,8332 Old Federal Rd
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'jack_and_jill_bathroom', 'master_bedroom', 'two_master_suites', 'master_suite']",sold,2023-11-08T13:11:39.000000Z,,1989.0,,2024-01-02,160000,2.0,,,4792.0,1475.0,2.0,,,,1.0,2.0,single_family,175000.0,7532334823,,,,,,,,,,False,2961447588,,36109,Alabama,-86.244298,32.389676,Montgomery,AL,4040 Chambers Pl
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_bathroom', 'master_bedroom']",sold,2023-09-22T04:03:13.000000Z,,2022.0,,2024-01-02,439900,3.0,,1.0,4356.0,3050.0,4.0,,,2.0,2.0,4.0,single_family,439900.0,9702416423,,,,,False,,,,,False,2959892239,5100.0,36117,Alabama,-86.143059,32.356445,Montgomery,AL,7107 Fain Park Dr
